applicant_income,loan_amount,credit_score,existing_debt,employment_years,loan_term,employment_type,education,property_area,self_employed,loan_approved
40618,141853,566.0,110200,7.7,48,Contract,Graduate,Urban,No,0
160442,81625,577.0,58453,8.9,24,Salaried,High School,Urban,No,1
139550,157714,850.0,41817,10.7,60,Self-employed,High School,Semiurban,Yes,1
101803,124214,803.0,12874,1.3,12,Salaried,,Urban,No,1
100777,107632,615.0,46767,9.0,24,Salaried,Postgraduate,Urban,Yes,0
175254,145499,619.0,28404,4.8,48,Salaried,Graduate,Semiurban,No,0
40040,87261,552.0,117205,0.0,36,Salaried,,Semiurban,No,0
147039,118104,488.0,63316,0.0,24,Salaried,Postgraduate,Rural,No,0
60257,52709,640.0,16438,1.9,24,Self-employed,Graduate,Semiurban,Yes,0
41481,154481,565.0,8084,8.1,36,Salaried,Graduate,Semiurban,No,0
117133,103505,643.0,102089,6.5,48,Contract,Graduate,Urban,No,0
195733,127300,514.0,111775,6.7,12,Salaried,Graduate,Semiurban,No,0
153756,79110,585.0,91560,13.8,12,Salaried,Graduate,Urban,No,0
158199,140020,663.0,14861,0.9,36,Self-employed,Postgraduate,Urban,Yes,0
150558,21126,681.0,11794,5.9,60,Salaried,Graduate,Rural,No,0
162561,27115,685.0,23757,7.2,24,Salaried,Graduate,Semiurban,No,1
114814,86067,538.0,90136,3.1,60,Self-employed,Graduate,Semiurban,Yes,0
47419,119862,723.0,91838,6.1,60,Salaried,Postgraduate,Urban,No,0
171955,131382,,100541,0.0,24,Salaried,High School,Urban,No,1
103817,76013,704.0,11632,11.6,48,Self-employed,Postgraduate,Semiurban,Yes,1
112561,107450,649.0,18385,3.3,48,Salaried,Graduate,Semiurban,No,1
89889,92965,533.0,108033,14.1,36,Self-employed,Graduate,Semiurban,Yes,0
56946,154228,623.0,111449,5.9,36,Self-employed,Postgraduate,Urban,Yes,0
187183,108115,681.0,87084,10.1,48,Salaried,Graduate,Urban,No,1
161774,72526,702.0,12724,5.8,48,Salaried,High School,Semiurban,No,0
137676,155472,638.0,8234,5.9,48,Salaried,Postgraduate,Semiurban,No,1
95422,26087,780.0,6670,3.7,60,Self-employed,Graduate,Urban,Yes,1
168983,157686,736.0,83021,6.5,36,Salaried,Graduate,Urban,No,0
120450,33101,628.0,101516,7.3,48,Contract,Graduate,Urban,No,0
102597,53234,714.0,75795,2.9,60,Salaried,Graduate,Urban,No,0
103830,133220,814.0,31452,,24,Self-employed,Graduate,Semiurban,Yes,0
64766,120063,817.0,90881,3.6,12,Salaried,High School,Urban,No,0
41123,155553,546.0,7095,15.2,36,Salaried,Graduate,Semiurban,No,0
122052,122497,571.0,99383,5.6,60,Salaried,Postgraduate,Semiurban,No,0
180380,105551,776.0,107025,,24,Salaried,High School,Rural,No,1
36168,61973,560.0,86202,5.2,48,Contract,Graduate,Rural,No,0
175200,10706,538.0,105511,7.0,12,Salaried,Graduate,Urban,No,1
169835,28580,609.0,70341,0.7,36,Salaried,Postgraduate,Urban,No,0
73432,54666,686.0,56203,4.2,36,Salaried,Graduate,Urban,No,0
135541,16142,641.0,38695,6.8,24,Salaried,,Semiurban,No,0
53915,86226,595.0,110605,12.3,60,Contract,High School,Urban,No,0
