applicant_income,loan_amount,credit_score,existing_debt,employment_years,loan_term,employment_type,education,property_area,self_employed,Actual,Predicted,Approval_Probability,Prediction_Type
154060,89294,557.0,55113,2.9,24,Salaried,,Semiurban,No,0,1,0.21599641973490713,FP
162214,91311,683.0,2431,0.0,60,Self-employed,Graduate,Urban,Yes,1,1,0.32430538170503015,TP
164145,46788,591.0,63011,6.9,24,Salaried,Postgraduate,Urban,No,1,1,0.6769270747762113,TP
97066,60116,656.0,73234,0.0,36,Salaried,Graduate,Urban,No,0,1,0.35266861969381486,FP
119549,10486,662.0,10365,10.3,60,Self-employed,Graduate,Urban,Yes,1,1,0.6679523090484142,TP
161281,52487,514.0,65833,16.7,48,Salaried,Graduate,Semiurban,No,0,1,0.46365562240017827,FP
49456,14441,612.0,71072,7.9,24,Salaried,High School,Semiurban,No,0,1,0.22280257106779297,FP
88860,92827,651.0,1342,3.4,36,Salaried,Graduate,Urban,No,0,1,0.30670274417137766,FP
95716,119088,608.0,60927,5.3,48,Contract,High School,Rural,No,0,0,0.107158691403215,TN
180888,48139,,35446,2.0,36,Self-employed,Graduate,Urban,Yes,1,1,0.46514708086922174,TP
27438,28903,649.0,98768,3.5,24,Salaried,Graduate,Rural,No,0,0,0.13789386148196564,TN
199231,23023,755.0,30434,3.5,36,Salaried,Graduate,Urban,No,1,1,0.8738770162710852,TP
111325,126193,674.0,111671,,60,Contract,Graduate,Semiurban,No,0,1,0.316908937836236,FP
31328,122442,556.0,77180,4.1,36,Contract,High School,Urban,No,0,0,0.0,TN
54087,94070,629.0,79075,3.5,36,Salaried,Graduate,Semiurban,No,0,0,0.0,TN
181370,56169,693.0,87664,12.3,48,Salaried,Graduate,Semiurban,No,1,1,0.575737782432953,TP
127627,75447,651.0,15381,6.7,12,Salaried,Postgraduate,Urban,No,1,1,0.7191206789080222,TP
156149,34361,599.0,82091,5.6,24,Salaried,,Semiurban,No,1,1,0.5749164885412575,TP
51852,131371,648.0,65292,1.8,24,Salaried,Postgraduate,Semiurban,No,0,0,0.0,TN
84191,25783,509.0,36940,5.7,36,Contract,Postgraduate,Urban,No,0,0,0.12577676810428198,TN
151581,102952,666.0,31777,12.7,24,Salaried,Graduate,Semiurban,No,1,1,0.6924908081898055,TP
141979,33358,760.0,109713,3.3,60,Self-employed,,Semiurban,Yes,1,1,0.5617116845110655,TP
126685,26740,713.0,116391,8.8,36,Self-employed,Graduate,Semiurban,Yes,1,1,0.24631934202240266,TP
76378,147294,682.0,115091,1.9,48,Salaried,High School,Semiurban,No,0,0,0.12536860508670056,TN
83024,59964,658.0,74120,10.5,60,Self-employed,Graduate,Urban,Yes,0,1,0.35505603642542843,FP
103638,128796,665.0,19584,5.8,36,Self-employed,Graduate,Urban,Yes,1,1,0.6968017842952425,TP
135395,133466,657.0,11769,3.2,36,Salaried,Graduate,Rural,No,0,1,0.30316005725693757,FP
192652,58561,516.0,23574,6.8,36,Salaried,High School,Semiurban,No,0,1,0.4395937180869124,FP
55799,135952,645.0,96972,8.4,12,Salaried,Graduate,Semiurban,No,0,0,0.0,TN
172296,76562,716.0,117172,5.7,12,,High School,Urban,No,0,1,0.5399983242554491,FP
165121,97631,743.0,67010,4.7,36,,,Semiurban,No,0,1,0.5340939603766589,FP
116890,79181,642.0,18429,6.8,60,,Postgraduate,Urban,Yes,0,1,0.45514658095523763,FP
47736,111295,698.0,78880,1.1,48,Salaried,Postgraduate,Urban,No,0,0,0.09648844592633858,TN
40827,80917,534.0,55825,7.7,36,Salaried,Graduate,Rural,No,0,0,0.0,TN
174907,37776,808.0,75754,8.5,48,Contract,,Semiurban,No,1,1,0.8977680611474171,TP
114989,82223,656.0,118904,9.7,48,Salaried,Graduate,Urban,No,0,1,0.22195684156331874,FP
65939,115132,718.0,96324,13.3,48,Self-employed,Graduate,Rural,Yes,0,1,0.3167513160888389,FP
182214,41157,639.0,42169,1.1,24,Self-employed,High School,Urban,Yes,0,1,0.3180893116712003,FP
161324,80262,638.0,103267,3.0,36,Salaried,Postgraduate,Urban,No,0,1,0.46915298153908463,FP
67641,107838,844.0,98343,5.1,48,Salaried,Graduate,Urban,No,0,1,0.40047587834795406,FP
39777,15376,694.0,93775,6.3,36,Contract,Graduate,Urban,No,0,0,0.10089265250551994,TN
198716,38003,414.0,100366,3.3,48,Salaried,Graduate,Semiurban,No,1,0,0.10918158439737728,FN
177721,125364,737.0,110661,12.7,36,Contract,,Urban,No,1,1,0.244800174717532,TP
166461,97549,612.0,65595,11.4,24,Self-employed,Graduate,Urban,Yes,0,1,0.6946879339243964,FP
199318,22363,669.0,111809,6.5,36,Salaried,Postgraduate,Semiurban,No,1,1,0.6833524160228508,TP
152801,82394,688.0,76839,12.4,60,Salaried,Graduate,Urban,No,1,1,0.6721954403569749,TP
125555,111251,616.0,19273,2.6,36,Salaried,Graduate,Semiurban,No,1,1,0.3224501001238829,TP
34093,153234,677.0,56208,12.2,36,Salaried,Graduate,Urban,No,0,0,0.1133801055596757,TN
190554,48266,690.0,32948,4.0,36,Self-employed,Postgraduate,Urban,Yes,1,1,0.8002836776527413,TP
187183,108115,681.0,87084,10.1,48,Salaried,Graduate,Urban,No,1,1,0.5504156210896586,TP
27550,158195,687.0,24259,1.1,36,Salaried,Graduate,Semiurban,No,0,0,0.09993431576637948,TN
53120,69015,615.0,113603,7.1,12,Salaried,High School,Urban,No,0,1,0.26226502695763726,FP
101803,124214,803.0,12874,1.3,12,Salaried,,Urban,No,1,1,0.4508150732873317,TP
144436,111593,658.0,10848,6.8,24,Salaried,Graduate,Urban,No,0,1,0.8974509468276659,FP
170855,60921,584.0,85147,0.0,36,Contract,High School,Semiurban,No,0,1,0.6822698140354998,FP
161959,77478,707.0,80898,4.9,24,Salaried,Graduate,Rural,No,1,1,0.5363082004473914,TP
41571,150198,672.0,109110,0.6,48,Salaried,Graduate,Rural,No,0,0,0.0,TN
188824,132746,564.0,69559,7.9,48,Salaried,Graduate,Semiurban,No,0,0,0.18660760491681022,TN
135541,16142,641.0,38695,6.8,24,Salaried,,Semiurban,No,0,1,0.820944963560031,FP
72033,114983,678.0,33345,9.9,48,Self-employed,High School,Semiurban,Yes,0,1,0.4537625359603686,FP
25957,51662,751.0,114390,12.2,60,Salaried,High School,Urban,No,0,0,0.0,TN
36886,141250,844.0,7104,12.5,60,Salaried,Graduate,Semiurban,No,1,1,0.3194474518791477,TP
187993,91839,815.0,89458,9.0,12,Salaried,Graduate,Urban,No,1,1,0.5582725606397178,TP
194640,78673,623.0,76471,14.2,36,,Postgraduate,Urban,Yes,1,1,0.78504585546632,TP
95137,76415,697.0,68356,5.1,24,Salaried,Postgraduate,Urban,No,1,1,0.21166628422416417,TP
108248,116988,782.0,86425,7.6,36,Salaried,Graduate,Urban,No,1,1,0.32450716083266634,TP
101162,45047,588.0,101309,5.6,48,Self-employed,High School,Semiurban,Yes,1,0,0.11180352459849148,FN
77881,147126,659.0,87125,9.9,12,Salaried,Graduate,Semiurban,No,0,0,0.0,TN
59061,71736,533.0,90734,9.3,36,Salaried,Graduate,Semiurban,No,0,0,0.0,TN
46320,86093,637.0,27400,7.9,60,Salaried,High School,Urban,No,0,0,0.18519042197871843,TN
82943,98131,760.0,59693,6.2,36,Contract,Graduate,Urban,No,0,1,0.22135315675153802,FP
47386,109067,487.0,26870,5.1,48,Salaried,Graduate,Urban,No,0,0,0.0,TN
